dim1,dim2,operational_label,is_current_round
1.702902793884277344e+01,6.679241657257080078e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.686003303527832031e+01,6.831946372985839844e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.666416358947753906e+01,6.978734970092773438e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.703976821899414062e+01,6.655766010284423828e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.707102966308593750e+01,6.632696628570556641e+00,1.000000000000000000e+00,0.000000000000000000e+00
-5.373464107513427734e+00,-2.451162099838256836e+00,2.000000000000000000e+00,0.000000000000000000e+00
-5.194825649261474609e+00,-2.692232847213745117e+00,2.000000000000000000e+00,0.000000000000000000e+00
-5.555599212646484375e+00,-2.873706817626953125e+00,2.000000000000000000e+00,0.000000000000000000e+00
-4.363599300384521484e+00,-2.294795513153076172e+00,2.000000000000000000e+00,0.000000000000000000e+00
-5.228973388671875000e+00,-2.649101734161376953e+00,2.000000000000000000e+00,0.000000000000000000e+00
-3.962305784225463867e+00,-2.233713388442993164e+00,2.000000000000000000e+00,0.000000000000000000e+00
-4.041075706481933594e+00,-1.996492385864257812e+00,2.000000000000000000e+00,0.000000000000000000e+00
-4.382167816162109375e+00,-2.188967466354370117e+00,2.000000000000000000e+00,0.000000000000000000e+00
-5.128618717193603516e+00,-2.629288673400878906e+00,2.000000000000000000e+00,0.000000000000000000e+00
-4.314285278320312500e+00,-2.423452377319335938e+00,2.000000000000000000e+00,0.000000000000000000e+00
-4.259311676025390625e+00,-2.365157604217529297e+00,2.000000000000000000e+00,0.000000000000000000e+00
-4.292101860046386719e+00,-2.377927064895629883e+00,2.000000000000000000e+00,0.000000000000000000e+00
-5.230266094207763672e+00,-2.579590797424316406e+00,2.000000000000000000e+00,0.000000000000000000e+00
-5.323648929595947266e+00,-2.544761896133422852e+00,2.000000000000000000e+00,0.000000000000000000e+00
-3.863660097122192383e+00,-1.756036400794982910e+00,2.000000000000000000e+00,0.000000000000000000e+00
-5.253645420074462891e+00,-2.635372638702392578e+00,2.000000000000000000e+00,0.000000000000000000e+00
-4.396055221557617188e+00,-2.299386739730834961e+00,2.000000000000000000e+00,0.000000000000000000e+00
-5.096747398376464844e+00,-2.677143812179565430e+00,2.000000000000000000e+00,0.000000000000000000e+00
-5.144754409790039062e+00,-2.675408601760864258e+00,2.000000000000000000e+00,0.000000000000000000e+00
-5.270798206329345703e+00,-2.677884578704833984e+00,2.000000000000000000e+00,0.000000000000000000e+00
-5.551243782043457031e+00,-2.842895507812500000e+00,2.000000000000000000e+00,0.000000000000000000e+00
-5.308422088623046875e+00,-2.695494651794433594e+00,2.000000000000000000e+00,0.000000000000000000e+00
-4.014674186706542969e+00,-2.147755622863769531e+00,2.000000000000000000e+00,0.000000000000000000e+00
-4.076610088348388672e+00,-2.353748321533203125e+00,2.000000000000000000e+00,0.000000000000000000e+00
-5.288054943084716797e+00,-2.664395093917846680e+00,2.000000000000000000e+00,0.000000000000000000e+00
-5.401702404022216797e+00,-2.659557819366455078e+00,2.000000000000000000e+00,0.000000000000000000e+00
-4.379501342773437500e+00,-2.298208713531494141e+00,2.000000000000000000e+00,0.000000000000000000e+00
-4.398155689239501953e+00,-2.242471933364868164e+00,2.000000000000000000e+00,0.000000000000000000e+00
-5.260626792907714844e+00,-2.586412429809570312e+00,2.000000000000000000e+00,0.000000000000000000e+00
-4.179018974304199219e+00,-2.467287063598632812e+00,2.000000000000000000e+00,0.000000000000000000e+00
-4.593556880950927734e+00,-2.223055839538574219e+00,2.000000000000000000e+00,0.000000000000000000e+00
-4.148630619049072266e+00,-2.364137172698974609e+00,2.000000000000000000e+00,0.000000000000000000e+00
-5.186668872833251953e+00,-2.580225467681884766e+00,2.000000000000000000e+00,0.000000000000000000e+00
-4.287344932556152344e+00,-2.323800086975097656e+00,2.000000000000000000e+00,0.000000000000000000e+00
-5.239195346832275391e+00,-2.622900009155273438e+00,2.000000000000000000e+00,0.000000000000000000e+00
-6.286540508270263672e+00,4.078943133354187012e-01,3.000000000000000000e+00,0.000000000000000000e+00
-6.891766071319580078e+00,2.867572605609893799e-01,3.000000000000000000e+00,0.000000000000000000e+00
-6.291745662689208984e+00,3.877345323562622070e-01,3.000000000000000000e+00,0.000000000000000000e+00
-6.522087574005126953e+00,2.076103352010250092e-03,3.000000000000000000e+00,0.000000000000000000e+00
-6.957676887512207031e+00,2.843607068061828613e-01,3.000000000000000000e+00,0.000000000000000000e+00
-6.889392375946044922e+00,3.274126946926116943e-01,3.000000000000000000e+00,0.000000000000000000e+00
-6.527419090270996094e+00,2.545584924519062042e-02,3.000000000000000000e+00,0.000000000000000000e+00
-6.583750724792480469e+00,7.867249101400375366e-02,3.000000000000000000e+00,0.000000000000000000e+00
4.772300720214843750e+00,-4.977263927459716797e+00,3.000000000000000000e+00,0.000000000000000000e+00
-6.569509506225585938e+00,3.740742504596710205e-01,3.000000000000000000e+00,0.000000000000000000e+00
-6.611442089080810547e+00,-1.583733595907688141e-02,3.000000000000000000e+00,0.000000000000000000e+00
-6.303473472595214844e+00,2.466586083173751831e-01,3.000000000000000000e+00,0.000000000000000000e+00
-6.258980274200439453e+00,2.228090465068817139e-01,3.000000000000000000e+00,0.000000000000000000e+00
-6.249606609344482422e+00,4.815430343151092529e-01,3.000000000000000000e+00,0.000000000000000000e+00
-6.141787052154541016e+00,3.341266512870788574e-01,3.000000000000000000e+00,0.000000000000000000e+00
