dim1,dim2,operational_label,is_current_round
1.366529655456542969e+01,1.713562488555908203e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.544297981262207031e+01,-2.350025177001953125e-01,1.000000000000000000e+00,0.000000000000000000e+00
1.765977287292480469e+01,-2.144284009933471680e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.746600151062011719e+01,-2.236192226409912109e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.504073238372802734e+01,1.991084814071655273e-01,1.000000000000000000e+00,0.000000000000000000e+00
1.785001373291015625e+01,-2.804642200469970703e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.461449337005615234e+01,6.853671669960021973e-01,1.000000000000000000e+00,0.000000000000000000e+00
1.807170677185058594e+01,-2.707111597061157227e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.712627983093261719e+01,-1.889928698539733887e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.430752277374267578e+01,1.047762513160705566e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.366192340850830078e+01,1.790097713470458984e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.798153686523437500e+01,-2.420949459075927734e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.372494888305664062e+01,1.732873201370239258e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.351894760131835938e+01,1.938625097274780273e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.811555099487304688e+01,-2.580547094345092773e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.788696861267089844e+01,-2.724030256271362305e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.226217746734619141e+01,1.209484291076660156e+01,2.000000000000000000e+00,0.000000000000000000e+00
1.189990329742431641e+01,1.172465419769287109e+01,2.000000000000000000e+00,0.000000000000000000e+00
1.207095336914062500e+01,1.231583118438720703e+01,2.000000000000000000e+00,0.000000000000000000e+00
1.701631927490234375e+01,1.544697380065917969e+01,2.000000000000000000e+00,0.000000000000000000e+00
1.283516025543212891e+01,1.249548721313476562e+01,2.000000000000000000e+00,0.000000000000000000e+00
1.382054805755615234e+01,1.304305934906005859e+01,2.000000000000000000e+00,0.000000000000000000e+00
1.392761421203613281e+01,1.314102077484130859e+01,2.000000000000000000e+00,0.000000000000000000e+00
1.667893409729003906e+01,1.526195430755615234e+01,2.000000000000000000e+00,0.000000000000000000e+00
1.136236190795898438e+01,1.214819526672363281e+01,2.000000000000000000e+00,0.000000000000000000e+00
1.715132904052734375e+01,1.551806259155273438e+01,2.000000000000000000e+00,0.000000000000000000e+00
1.241009330749511719e+01,1.227719306945800781e+01,2.000000000000000000e+00,0.000000000000000000e+00
1.722397994995117188e+01,1.573414039611816406e+01,2.000000000000000000e+00,0.000000000000000000e+00
1.114021205902099609e+01,1.170337581634521484e+01,2.000000000000000000e+00,0.000000000000000000e+00
1.234059047698974609e+01,1.225743770599365234e+01,2.000000000000000000e+00,0.000000000000000000e+00
1.815241622924804688e+01,1.727837753295898438e+01,2.000000000000000000e+00,0.000000000000000000e+00
1.192818832397460938e+01,1.172139930725097656e+01,2.000000000000000000e+00,0.000000000000000000e+00
1.731962013244628906e+01,1.564261436462402344e+01,2.000000000000000000e+00,0.000000000000000000e+00
1.127299785614013672e+01,1.167453479766845703e+01,2.000000000000000000e+00,0.000000000000000000e+00
1.192519664764404297e+01,1.171944332122802734e+01,2.000000000000000000e+00,0.000000000000000000e+00
1.141050720214843750e+01,1.155214691162109375e+01,2.000000000000000000e+00,0.000000000000000000e+00
1.147983455657958984e+01,1.154217243194580078e+01,2.000000000000000000e+00,0.000000000000000000e+00
1.187969398498535156e+01,1.232149314880371094e+01,2.000000000000000000e+00,0.000000000000000000e+00
1.698830413818359375e+01,1.570584869384765625e+01,2.000000000000000000e+00,0.000000000000000000e+00
1.654947090148925781e+01,1.527129268646240234e+01,2.000000000000000000e+00,0.000000000000000000e+00
1.125377273559570312e+01,1.203436470031738281e+01,2.000000000000000000e+00,0.000000000000000000e+00
1.180021858215332031e+01,1.154241657257080078e+01,2.000000000000000000e+00,0.000000000000000000e+00
1.733956146240234375e+01,1.582077980041503906e+01,2.000000000000000000e+00,0.000000000000000000e+00
1.713605880737304688e+01,1.543331813812255859e+01,2.000000000000000000e+00,0.000000000000000000e+00
1.122453880310058594e+01,1.195599365234375000e+01,2.000000000000000000e+00,0.000000000000000000e+00
1.718561363220214844e+01,1.586691761016845703e+01,2.000000000000000000e+00,0.000000000000000000e+00
1.311529827117919922e+01,1.265716457366943359e+01,2.000000000000000000e+00,0.000000000000000000e+00
1.652159500122070312e+01,1.517397499084472656e+01,2.000000000000000000e+00,0.000000000000000000e+00
1.144263744354248047e+01,1.222819042205810547e+01,2.000000000000000000e+00,0.000000000000000000e+00
1.731808662414550781e+01,1.570109081268310547e+01,2.000000000000000000e+00,0.000000000000000000e+00
1.150909709930419922e+01,1.225772285461425781e+01,2.000000000000000000e+00,0.000000000000000000e+00
