Setting,Method,Merging,cluster_id,size,purity,mean_radius,nearest_cluster_dist,mean_prob,reliability_score,accepted,reason,sub_scores
No VUP,No VUP + Graph HDBSCAN,False,16,89,0.9662921348314607,1.197303295135498,4.348050594329834,0.7376408655294477,0.5629404738223028,True,accepted,"{'compactness': 0.4137978964913229, 'separation': 0.5844591681104864, 'hdb_prob': 0.7376408655294477}"
No VUP,No VUP + Graph Merge,True,0,26,1.0,1.5892397165298462,6.622744083404541,0.7647212669337718,0.6011396094102031,True,accepted,"{'compactness': 0.36787944117144233, 'separation': 0.772177865170472, 'hdb_prob': 0.7647212669337718}"
No VUP,No VUP + Graph Merge,True,1,29,1.0,1.076959252357483,6.112453937530518,0.7007876114603427,0.6423180344255398,True,accepted,"{'compactness': 0.5078054407541629, 'separation': 0.7446746711093766, 'hdb_prob': 0.7007876114603427}"
No VUP,No VUP + Graph Merge,True,2,42,1.0,3.4318270683288574,5.247669696807861,0.8348801207268719,0.40514264548807744,True,accepted,"{'compactness': 0.11539267960678808, 'separation': 0.6902739755977045, 'hdb_prob': 0.8348801207268719}"
No VUP,No VUP + Graph Merge,True,3,47,0.9361702127659575,1.091986060142517,5.036566257476807,0.7134563314328971,0.6234803797148634,True,accepted,"{'compactness': 0.5030265941873979, 'separation': 0.6753206521916012, 'hdb_prob': 0.7134563314328971}"
No VUP,No VUP + Graph Merge,True,4,76,1.0,1.5820224285125732,4.4772772789001465,0.9565061775564861,0.6068134028601447,True,accepted,"{'compactness': 0.3695539084261681, 'separation': 0.6321205580068989, 'hdb_prob': 0.9565061775564861}"
No VUP,No VUP + Graph Merge,True,5,97,1.0,2.117875814437866,4.169788837432861,0.9543627594483196,0.53432116284436,True,accepted,"{'compactness': 0.263781389822743, 'separation': 0.605967720861877, 'hdb_prob': 0.9543627594483196}"
No VUP,No VUP + Graph Merge,True,6,79,0.7721518987341772,1.6769611835479736,4.17750358581543,0.7637514285670901,0.5443443455496486,True,accepted,"{'compactness': 0.3481237958215684, 'separation': 0.6066460890353944, 'hdb_prob': 0.7637514285670901}"
No VUP,No VUP + Graph Merge,True,7,88,1.0,3.0819993019104004,4.364505290985107,0.7513997909858923,0.40674041686388274,True,accepted,"{'compactness': 0.14380577945482684, 'separation': 0.6227368676881222, 'hdb_prob': 0.7513997909858923}"
No VUP,No VUP + Graph Merge,True,8,75,0.9466666666666667,1.3492798805236816,4.525205135345459,0.6339448041741137,0.5566787871528859,True,accepted,"{'compactness': 0.427838425261213, 'separation': 0.636037589946432, 'hdb_prob': 0.6339448041741137}"
No VUP,No VUP + Graph Merge,True,9,84,0.9880952380952381,2.6242074966430664,4.17750358581543,0.8074129446904709,0.45460724745303044,True,accepted,"{'compactness': 0.19181296350349566, 'separation': 0.6066460890353944, 'hdb_prob': 0.8074129446904709}"
No VUP,No VUP + Graph Merge,True,10,93,0.8387096774193549,2.879835605621338,4.169788837432861,0.7534265792135126,0.42089213004089676,True,accepted,"{'compactness': 0.16331346311056524, 'separation': 0.605967720861877, 'hdb_prob': 0.7534265792135126}"
No VUP,No VUP + Graph Merge,True,11,56,1.0,1.1129997968673706,4.861344814300537,0.6910501393217999,0.6102173094192462,True,accepted,"{'compactness': 0.49641910052388155, 'separation': 0.6623621784506268, 'hdb_prob': 0.6910501393217999}"
No VUP,No VUP + Graph Merge,True,12,89,0.9662921348314607,1.197303295135498,4.325624942779541,0.7376408655294477,0.5991742697061161,True,accepted,"{'compactness': 0.47077209284637833, 'separation': 0.6194464761837298, 'hdb_prob': 0.7376408655294477}"
VUP Embedding,VUP Embedding + Graph HDBSCAN,False,0,20,1.0,0.6834486722946167,6.9806084632873535,0.8658141295467189,0.7126445016102075,True,accepted,"{'compactness': 0.5171673022878911, 'separation': 0.808282336453283, 'hdb_prob': 0.8658141295467189}"
